Timestamp,Open,High,Low,Close,Volume,Atr,Adx,SAR,BB_upper,BB_middle,BB_lower
2025-07-01 04:55:00,152.55,152.71,152.46,152.5,16613.388,0.26,27.08,153.24,154.24,153.33,152.42
2025-07-01 05:00:00,152.51,152.79,152.47,152.78,4200.211,0.27,27.35,153.1,154.21,153.29,152.36
2025-07-01 05:05:00,152.77,152.78,152.4,152.41,3952.744,0.28,27.64,152.98,154.2,153.22,152.24
2025-07-01 05:10:00,152.41,152.49,152.2,152.22,23859.258,0.28,28.03,152.87,154.2,153.15,152.1
2025-07-01 05:15:00,152.22,152.49,151.86,152.01,15930.792,0.3,28.57,152.78,154.16,153.06,151.95
2025-07-01 05:20:00,152.0,152.03,151.81,151.83,4301.1,0.3,29.12,152.6,154.13,152.96,151.79
2025-07-01 05:25:00,151.83,151.84,151.36,151.6,42622.306,0.31,29.83,152.49,154.11,152.85,151.59
2025-07-01 05:30:00,151.59,151.76,151.0,151.31,87894.88,0.34,30.64,152.26,154.07,152.73,151.38
2025-07-01 05:35:00,151.31,151.56,151.0,151.24,16459.145,0.36,31.43,152.01,153.96,152.59,151.22
2025-07-01 05:40:00,151.24,151.42,151.21,151.31,4529.469,0.35,32.19,151.81,153.87,152.48,151.08
2025-07-01 05:45:00,151.32,151.47,151.0,151.37,8186.605,0.36,33.0,151.65,153.78,152.37,150.97
2025-07-01 05:50:00,151.36,151.65,151.23,151.48,8952.106,0.36,33.57,151.0,153.65,152.28,150.91
2025-07-01 05:55:00,151.47,151.56,151.36,151.48,4956.01,0.35,34.12,151.0,153.54,152.19,150.85
2025-07-01 06:00:00,151.48,151.48,151.19,151.26,5652.549,0.34,34.72,151.01,153.39,152.09,150.79
2025-07-01 06:05:00,151.25,151.36,151.1,151.25,4791.12,0.34,35.33,151.03,153.28,152.0,150.72
2025-07-01 06:10:00,151.25,151.31,151.13,151.15,6357.371,0.33,35.92,151.04,153.14,151.91,150.68
2025-07-01 06:15:00,151.14,151.24,150.98,151.14,8355.562,0.32,36.55,151.65,153.0,151.82,150.63
2025-07-01 06:20:00,151.14,151.27,151.05,151.19,6165.17,0.32,37.12,151.64,152.86,151.74,150.61
2025-07-01 06:25:00,151.18,151.34,151.05,151.09,5985.197,0.31,37.58,151.62,152.73,151.66,150.59
2025-07-01 06:30:00,151.08,151.23,150.96,151.21,7330.356,0.31,38.06,151.61,152.6,151.59,150.58
2025-07-01 06:35:00,151.21,151.36,151.21,151.36,5028.218,0.3,38.36,151.58,152.46,151.53,150.61
2025-07-01 06:40:00,151.36,151.47,151.28,151.44,5283.282,0.29,38.51,151.56,152.19,151.47,150.75
2025-07-01 06:45:00,151.44,151.5,151.32,151.45,5957.986,0.28,38.62,151.54,152.0,151.42,150.84
2025-07-01 06:50:00,151.46,151.48,151.3,151.39,7485.289,0.28,38.74,151.51,151.82,151.38,150.93
2025-07-01 06:55:00,151.39,151.39,151.23,151.27,6893.941,0.27,38.89,151.5,151.68,151.34,151.0
2025-07-01 07:00:00,151.27,151.39,151.14,151.39,5440.737,0.27,39.08,151.48,151.58,151.32,151.06
2025-07-01 07:05:00,151.39,151.5,151.29,151.45,5127.609,0.26,39.11,150.96,151.55,151.31,151.08
2025-07-01 07:10:00,151.45,151.45,151.1,151.1,3839.389,0.27,39.25,150.97,151.55,151.3,151.05
2025-07-01 07:15:00,151.11,151.14,150.03,150.07,50821.131,0.33,39.82,151.5,151.84,151.24,150.65
2025-07-01 07:20:00,150.08,150.12,148.82,149.43,109785.497,0.4,40.69,151.47,152.13,151.15,150.16
2025-07-01 07:25:00,149.43,150.13,149.43,150.1,22567.916,0.42,41.51,151.36,152.16,151.08,150.01
2025-07-01 07:30:00,150.1,150.1,149.76,149.82,16682.83,0.41,42.3,151.26,152.2,151.0,149.81
2025-07-01 07:35:00,149.83,149.96,149.6,149.87,12267.141,0.41,43.11,151.17,152.19,150.92,149.65
2025-07-01 07:40:00,149.87,150.04,149.61,149.98,14130.074,0.41,43.8,151.07,152.18,150.86,149.53
2025-07-01 07:45:00,149.97,150.23,149.81,150.18,10057.391,0.41,44.27,150.98,152.15,150.8,149.46
2025-07-01 07:50:00,150.18,150.46,150.15,150.42,13123.76,0.4,44.5,150.89,152.11,150.77,149.43
2025-07-01 07:55:00,150.42,150.42,150.05,150.07,8566.916,0.4,44.74,150.81,152.08,150.71,149.35
2025-07-01 08:00:00,150.06,150.07,149.67,149.81,14355.737,0.4,45.1,150.73,152.04,150.65,149.25
2025-07-01 08:05:00,149.81,149.81,149.59,149.78,9912.181,0.39,45.46,150.66,152.01,150.58,149.15
2025-07-01 08:10:00,149.78,149.78,149.61,149.68,6706.463,0.37,45.81,150.58,151.96,150.5,149.05
2025-07-01 08:15:00,149.68,149.91,149.68,149.85,22376.628,0.36,46.02,150.51,151.85,150.43,149.0
2025-07-01 08:20:00,149.84,150.03,149.8,150.01,9188.091,0.35,46.1,150.44,151.71,150.36,149.0
2025-07-01 08:25:00,150.0,150.01,149.66,149.88,7450.677,0.35,46.23,150.38,151.55,150.28,149.01
2025-07-01 08:30:00,149.88,149.9,149.58,149.58,7137.693,0.35,46.37,150.32,151.38,150.19,148.99
2025-07-01 08:35:00,149.59,149.65,149.2,149.41,12135.988,0.36,46.64,150.26,151.23,150.09,148.96
2025-07-01 08:40:00,149.42,149.47,149.2,149.25,19074.615,0.35,46.89,150.2,151.01,149.99,148.96
2025-07-01 08:45:00,149.25,149.5,149.1,149.5,26783.167,0.36,47.17,150.14,150.68,149.89,149.1
2025-07-01 08:50:00,149.49,149.5,149.19,149.25,12090.936,0.35,47.44,150.09,150.41,149.8,149.18
2025-07-01 08:55:00,149.25,149.25,149.01,149.06,7491.511,0.34,47.76,150.04,150.43,149.75,149.07
2025-07-01 09:00:00,149.05,149.35,148.85,149.19,11196.214,0.36,48.11,149.99,150.45,149.73,149.02
2025-07-01 09:05:00,149.19,149.4,149.18,149.37,5968.952,0.35,48.4,149.94,150.41,149.7,148.99
2025-07-01 09:10:00,149.38,149.39,149.17,149.24,3648.408,0.34,48.68,149.9,150.4,149.67,148.94
2025-07-01 09:15:00,149.23,149.3,149.0,149.11,10101.598,0.33,49.0,149.86,150.4,149.63,148.87
2025-07-01 09:20:00,149.11,149.11,148.46,148.92,28500.08,0.36,49.47,149.82,150.38,149.58,148.77
2025-07-01 09:25:00,148.93,148.95,148.76,148.9,3845.739,0.34,49.92,149.73,150.32,149.51,148.71
2025-07-01 09:30:00,148.9,148.9,148.43,148.47,8322.848,0.35,50.43,149.66,150.23,149.42,148.6
2025-07-01 09:35:00,148.47,148.67,148.4,148.64,8567.547,0.35,50.94,149.56,150.17,149.34,148.52
2025-07-01 09:40:00,148.64,148.76,148.57,148.74,8723.769,0.34,51.33,149.44,150.13,149.29,148.45
2025-07-01 09:45:00,148.74,149.15,148.64,149.15,9996.989,0.35,51.27,149.34,150.07,149.26,148.45
2025-07-01 09:50:00,149.15,149.28,148.97,149.24,14134.945,0.35,51.09,148.4,150.02,149.24,148.45
2025-07-01 09:55:00,149.24,149.39,149.15,149.23,4339.13,0.34,50.8,148.42,149.94,149.21,148.47
2025-07-01 10:00:00,149.23,149.34,149.04,149.15,8418.3,0.34,50.57,148.46,149.8,149.16,148.53
2025-07-01 10:05:00,149.15,149.15,148.91,149.11,12458.911,0.33,50.39,148.49,149.67,149.13,148.58
2025-07-01 10:10:00,149.1,149.1,148.84,148.95,7419.365,0.32,50.25,148.53,149.6,149.09,148.59
2025-07-01 10:15:00,148.94,149.03,148.89,149.02,9403.775,0.31,50.11,148.56,149.56,149.07,148.59
2025-07-01 10:20:00,149.03,149.35,148.98,149.16,6204.447,0.32,49.65,148.6,149.55,149.07,148.59
2025-07-01 10:25:00,149.16,149.17,148.77,148.77,7374.561,0.32,49.29,148.63,149.49,149.03,148.58
2025-07-01 10:30:00,148.77,149.14,148.76,149.06,9886.837,0.33,48.95,148.66,149.47,149.02,148.58
2025-07-01 10:35:00,149.06,149.06,148.7,148.88,11148.589,0.33,48.65,148.69,149.46,149.02,148.57
2025-07-01 10:40:00,148.88,148.96,148.81,148.88,3322.737,0.32,48.36,148.7,149.44,149.0,148.56
2025-07-01 10:45:00,148.89,148.89,148.57,148.66,6408.778,0.32,48.19,149.39,149.4,148.96,148.53
2025-07-01 10:50:00,148.66,149.1,148.66,148.92,13259.603,0.32,47.8,149.37,149.36,148.95,148.53
2025-07-01 10:55:00,148.92,149.03,148.84,148.96,6074.427,0.32,47.43,149.36,149.35,148.94,148.53
2025-07-01 11:00:00,148.95,149.18,148.9,149.17,8862.141,0.31,46.91,149.34,149.37,148.95,148.53
2025-07-01 11:05:00,149.18,149.2,148.92,148.92,10126.648,0.31,46.39,149.33,149.37,148.95,148.54
2025-07-01 11:10:00,148.92,148.92,148.14,148.28,20129.562,0.34,46.25,149.31,149.41,148.94,148.48
2025-07-01 11:15:00,148.29,148.54,148.25,148.45,8815.978,0.34,46.11,149.26,149.43,148.94,148.44
2025-07-01 11:20:00,148.46,148.83,148.45,148.82,3844.359,0.34,45.7,149.22,149.43,148.94,148.45
2025-07-01 11:25:00,148.82,148.82,148.66,148.76,7880.278,0.33,45.3,149.18,149.41,148.92,148.43
2025-07-01 11:30:00,148.77,149.03,148.72,149.02,8813.847,0.33,44.71,149.13,149.38,148.91,148.44
2025-07-01 11:35:00,149.02,149.07,148.92,148.98,5495.616,0.32,44.11,149.09,149.34,148.9,148.45
2025-07-01 11:40:00,148.98,149.01,148.8,148.83,4765.547,0.31,43.6,149.07,149.31,148.88,148.45
2025-07-01 11:45:00,148.83,148.98,148.79,148.84,7230.233,0.3,43.1,149.07,149.29,148.87,148.45
2025-07-01 11:50:00,148.84,148.86,148.46,148.81,6848.979,0.31,42.79,149.03,149.28,148.86,148.44
2025-07-01 11:55:00,148.81,148.91,148.73,148.84,4080.94,0.3,42.45,149.0,149.26,148.85,148.44
2025-07-01 12:00:00,148.85,149.05,148.72,149.01,5993.485,0.3,41.97,148.14,149.24,148.84,148.45
2025-07-01 12:05:00,149.0,149.06,148.85,148.96,5604.894,0.29,41.51,148.16,149.25,148.85,148.46
2025-07-01 12:10:00,148.96,148.97,148.79,148.85,4233.099,0.29,41.09,148.19,149.23,148.84,148.46
2025-07-01 12:15:00,148.85,148.88,148.48,148.51,8000.348,0.29,40.85,148.23,149.23,148.82,148.41
2025-07-01 12:20:00,148.51,148.58,148.26,148.32,25874.904,0.3,40.73,149.06,149.26,148.8,148.33
2025-07-01 12:25:00,148.32,148.39,147.91,148.32,25226.233,0.31,40.76,149.04,149.28,148.78,148.27
2025-07-01 12:30:00,148.32,148.44,148.22,148.35,5555.304,0.3,40.74,149.0,149.28,148.75,148.22
2025-07-01 12:35:00,148.35,148.53,148.23,148.36,4855.703,0.3,40.64,148.96,149.27,148.72,148.17
2025-07-01 12:40:00,148.35,148.5,148.01,148.02,5375.892,0.32,40.63,148.91,149.25,148.66,148.07
2025-07-01 12:45:00,148.03,148.32,147.94,148.1,5600.828,0.32,40.65,148.87,149.25,148.62,148.0
2025-07-01 12:50:00,148.1,148.45,148.05,148.4,6482.925,0.33,40.54,148.83,149.24,148.63,148.01
2025-07-01 12:55:00,148.4,148.45,148.33,148.35,3689.549,0.31,40.43,148.8,149.24,148.62,148.0
2025-07-01 13:00:00,148.34,148.38,148.13,148.2,8293.637,0.31,40.42,148.76,149.23,148.59,147.95
2025-07-01 13:05:00,148.21,148.34,148.13,148.3,3967.287,0.3,40.41,148.73,149.22,148.57,147.92
2025-07-01 13:10:00,148.31,148.31,147.52,147.69,29744.694,0.33,40.66,148.7,149.22,148.5,147.78
2025-07-01 13:15:00,147.68,148.21,147.62,147.93,11181.505,0.35,40.9,148.62,149.17,148.45,147.73
2025-07-01 13:20:00,147.92,147.99,147.7,147.77,11693.984,0.35,41.13,148.56,149.16,148.4,147.64
2025-07-01 13:25:00,147.78,148.33,147.78,148.26,15063.258,0.36,40.99,148.5,149.1,148.37,147.63
2025-07-01 13:30:00,148.27,148.54,148.11,148.48,18361.083,0.37,40.65,147.52,149.06,148.35,147.64
2025-07-01 13:35:00,148.48,148.53,147.77,147.84,15609.103,0.4,40.49,147.54,149.0,148.3,147.6
2025-07-01 13:40:00,147.84,147.9,146.89,147.61,39958.632,0.44,40.66,148.54,148.92,148.23,147.55
